SNO,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP
1,M,4.9,6.9,21,19.2,52,D,1.3
2,M,6.8,6.3,18,20,51,D,1.3
3,M,6.4,6,9,16.9,38,F,0
4,M,3,4.6,1,9.2,18,F,0
5,F,8.6,6.3,17,28.5,60,C,2
6,F,10.5,6.6,21,32.3,70,B-,2.7
7,F,7.1,7.7,13,16.9,45,F,0
8,F,5.6,6.7,6,20.8,39,F,0
9,M,6.8,6.9,9,16.9,40,F,0
10,M,8.3,6.3,22,24.6,61,C,2
11,F,6.4,7.7,19,19.2,52,D,1.3
12,M,4.1,4.9,11,14.6,35,F,0
13,M,7.1,7.1,12,26.9,53,D,1.3
14,M,8.3,7.4,19,45.4,80,B+,3.3
15,F,8.3,7.7,13,20.8,50,D,1.3
16,F,6.4,6.6,18,13.8,45,F,0
17,M,9,7.4,20,18.5,55,C-,1.7
18,M,6.8,7.4,18,18.5,51,D,1.3
19,M,7.9,6.3,17,19.2,50,D,1.3
20,M,6,5.3,4,11.5,27,F,0
21,M,4.5,6.9,21,18.5,51,D,1.3
22,F,7.9,6.6,18,20.8,53,D,1.3
23,M,4.9,5.7,16,23.8,50,D,1.3
24,M,5.3,6,9,4.6,25,F,0
25,M,5.6,5.4,16,23.1,50,D,1.3
27,M,6,5.4,15,23.8,50,D,1.3
28,F,10.9,4.6,19,34.6,69,C+,2.3
29,F,6.4,7.7,18,20.8,53,D,1.3
30,M,7.9,6.6,18,19.2,52,D,1.3
31,M,10.5,7.4,16,18.5,52,D,1.3
32,M,3,7.1,10,16.2,36,F,0
33,M,7.1,7.1,22,30.8,67,C+,2.3
34,M,6.4,7.1,12,18.5,44,F,0
35,M,5.6,7.4,10,6.9,30,F,0
